Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
136;Analista de Compras;"Analista de Aquisição de Materiais; Analista de Licitações; Analista de Suprimentos";Efetuar compras de materiais e equipamentos, atendendo às requisições de compras e características específicas. Realizar cotações de preços e negociar com fornecedores para obter as melhores condições de compra. Atualizar e gerenciar o cadastro de fornecedores, mantendo um relacionamento ativo e estratégico. Acompanhar o recebimento de materiais, verificando o cumprimento das especificações e prazos. Levantar documentos e especificações necessárias para processos licitatórios. Implementar e monitorar políticas de compras e procedimentos internos para garantir a eficiência e conformidade. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
23;Analista de Comunicação;"Analista Comunicação Interna; Analista de Comunicação Corporativa; Analista de Comunicação e Relações Públicas; Analista de Conteúdo; Analista de Endomarketing";Executar o plano de marketing institucional e atuar em atividades institucionais para promover a empresa no mercado e articular o relacionamento com instituições. Desenvolver e gerenciar a identidade visual da empresa, criar propaganda e promoções, e alinhar estratégias de marca, negócios e comunicação. Acompanhar publicações em meios de comunicação, redes sociais e chats. Elaborar pautas, notas, press releases, media briefings, briefing books, Q&As, entre outros. Conduzir o plano de comunicação em mídias sociais, gerando conteúdo, realizando postagens e respondendo aos feedbacks dos clientes. Implantar ações de relações públicas e assessoria de imprensa, sendo o ponto de contato entre a empresa e a mídia. Redigir comunicados de imprensa e outros textos sobre a empresa, organizando publicações e implementando estratégias de endomarketing. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
840;Analista de Conteúdo;"Analista de Conteúdo pago; Content Writer; Redator de Conteúdo";Desenvolver textos e conteúdos que agreguem valor à empresa e aos clientes, alinhando os objetivos de Marketing, Comunicação e Mídia. Produzir e revisar textos institucionais, de serviços, matérias e casos de sucesso para divulgação em mídias pagas, e-mail e redes sociais, gerando tráfego para o blog da empresa, leads para a base e oportunidades de venda para o time comercial. Implementar estratégias de SEO para otimizar o alcance e engajamento dos conteúdos. Monitorar e analisar o desempenho dos conteúdos, ajustando estratégias conforme necessário. Colaborar com outras equipes para garantir a consistência da mensagem e a qualidade dos conteúdos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
24;Analista de Contratos;"Analista de Administração de Contratos; Analista de Propostas e Contratos";Elaborar, analisar e controlar contratos e recursos, assegurando a conformidade com os custos, qualidade, segurança e prazos estabelecidos. Garantir o funcionamento eficiente dos processos de gestão de contratos em alinhamento com os objetivos e a missão da empresa. Monitorar a execução dos contratos, identificando e resolvendo possíveis problemas. Fornecer suporte e orientação às partes envolvidas, mantendo a comunicação clara e eficaz. Implementar melhorias contínuas nos processos de gestão de contratos e assegurar a conformidade com as normas e políticas internas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
26;Analista de Controladoria;"Analista de Controle Orçamentário; Analista de Orçamento; Analista Orçamentário";Analisar, organizar e orientar sobre princípios legais, políticas e diretrizes adotadas pela empresa. Definir e implementar formas de controle orçamentário, contábil e financeiro adequadas à estratégia dos negócios. Monitorar e avaliar a performance financeira, gerando relatórios e análises para apoiar a tomada de decisões estratégicas. Assegurar a conformidade com as normas e regulamentos financeiros. Colaborar com outras áreas para alinhar as práticas financeiras e contábeis aos objetivos da empresa. Desenvolver e aprimorar sistemas de controle interno para garantir a integridade e a eficiência das operações financeiras. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1017;Analista de Customer Service (CX);"Analista de Customer Experience; Analista de CX; Analista de Professional Service";Entender a jornada do cliente, identificando suas necessidades e propondo possíveis soluções por meio de adaptações, integrações e configurações personalizadas. Acompanhar o time de relacionamento/CS em reuniões, quando necessário, para garantir uma comunicação eficaz e a melhor experiência do cliente. Realizar prototipação e desenvolver soluções inovadoras para melhorar a experiência do cliente. Criar ferramentas e produtos internos para auxiliar o time de vendas e relacionamento, com foco em retenção de clientes. Monitorar e analisar feedbacks dos clientes para implementar melhorias contínuas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
435;Analista de Dados;"Analista de Estatísticas; Analista de Indicadores e Estatística; Data Analyst";Coletar, compilar, analisar e interpretar dados para solucionar problemas de negócios com técnicas orientadas por dados. Verificar a autenticidade das fontes de dados, simplificar o processo de análise e criar soluções efetivas utilizando algoritmos técnicos e cálculos matemáticos. Compreender e aplicar técnicas analíticas avançadas, como machine learning, deep learning e text analytics. Identificar padrões e tendências nos dados que possam melhorar os resultados da empresa. Desenvolver visualizações e relatórios para comunicar insights de maneira clara e eficaz. Colaborar com outras equipes para integrar análises de dados nos processos de tomada de decisão. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
28;Analista de Departamento Pessoal;"Analista Administrativo de Pessoal; Analista de Administração de Pessoal; Analista de DP; Analista de Folha de Pagamento";Processar a folha de pagamento, encargos sociais, cálculo de férias, admissões e demissões, preparando documentos para homologação e garantindo o cumprimento dos procedimentos legais. Realizar cálculos orçamentários e provisões de encargos. Garantir a atualização dos cadastros dos funcionários e o controle de ponto. Representar legalmente a empresa nas atividades de homologações. Manter-se atualizado sobre as legislações trabalhistas e previdenciárias para assegurar a conformidade. Auxiliar na implementação de políticas e procedimentos de recursos humanos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
11;Analista de Documentação;"Analista de Controle de Documentos; Analista de Processos Documentais; Anl. Documentação Técnica; Documentador; Técnico de Documentação de Sistemas";Realizar a análise crítica de materiais da área de Pesquisa e Desenvolvimento. Promover a criação de material técnico conforme metodologias e processos definidos. Efetuar a modificação de manuais e documentos, garantindo sua precisão e relevância. Organizar, padronizar e controlar documentos da empresa, assegurando que as informações estejam disponíveis e atualizadas para os usuários autorizados. Implementar e monitorar sistemas de gestão documental para melhorar a eficiência e a acessibilidade. Colaborar com outras áreas para desenvolver e manter padrões de documentação. Garantir a conformidade dos documentos com as normas e regulamentações aplicáveis. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
829;Analista de E-commerce;"Analista de Mercado Online; Analista de Operações de E-commerce; Analista de Plataforma de E-commerce; Analista de Vendas Online";Elaborar banners e e-mails promocionais, adicionar novos produtos ao site, fotografar e editar fotos de produtos. Atender ao telefone, efetuar vendas e tirar dúvidas dos clientes sobre produtos por e-mail, chat e telefone. Zelar pelo bom funcionamento do site, garantindo uma experiência de usuário positiva. Operacionalizar e analisar os resultados das ferramentas de marketing digital, propondo melhorias para aumentar as vendas e o engajamento. Monitorar o desempenho do site e identificar oportunidades para otimização. Colaborar com as equipes de vendas, marketing e TI para alinhar estratégias e implementar campanhas eficazes. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
366;Analista de Eventos;"Analista de Marketing de Eventos; Organizador de Eventos; Planejador de Eventos; Produtor de Eventos";Planejar, organizar e produzir os eventos da empresa, elaborando planos de marketing e comunicação, e controlando o orçamento. Negociar com fornecedores, definir prazos, pagamentos e contratos. Acompanhar a montagem, execução e desmontagem dos eventos para garantir qualidade e excelência. Organizar feiras e eventos, gerenciando toda a logística envolvida. Realizar a promoção dos eventos e garantir a satisfação dos participantes. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
368;Analista de Faturamento;Faturista;Realizar rotinas de apoio à área financeira, analisando impostos e emitindo notas fiscais. Desenvolver planilhas de controle de faturamento, receitas e despesas, bem como alimentar informações de faturamento no sistema da empresa. Gerar lançamentos contábeis e emitir faturas. Registrar e controlar recebimentos. Elaborar relatórios e análises de faturamento, fornecendo insights para a tomada de decisões. Garantir a conformidade com as normas fiscais e contábeis. Colaborar com outras áreas para otimizar processos de faturamento e resolver questões relacionadas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1077;Analista de Geoprocessamento;"Analista de Geoinformação; Analista de GIS (Sistema de Informação Geográfica); Analista de SIG (Sistemas de Informação Geográfica)";Realizar processos de geocodificação manual e elaborar procedimentos técnicos. Interpretar documentação técnica e especificar componentes e requisitos para soluções de geoprocessamento. Fazer edições, ajustes, configurações e montagem de bases cartográficas. Elaborar relatórios dinâmicos e realizar testes de soluções Web de geoprocessamento. Atualizar e gerenciar bases de dados geográficas, utilizando bancos de dados relacionais e controlando o andamento das atividades de geologia. Analisar, interpretar e classificar imagens de satélite, garantindo a precisão e a relevância das informações. Colaborar com equipes multidisciplinares para integrar dados geoespaciais em projetos diversos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
989;Analista de Gerenciamento de Riscos e Compliance;"Analista de Compliance; Analista de Controles Internos Riscos e Compliance";Elaborar e executar processos de mapeamento de riscos e controles internos de Compliance. Analisar o fluxo de atividades para mapeamento de riscos e controles e realizar reavaliações periódicas. Desenvolver e implementar planos de testes de efetividade do ambiente de controles internos para identificar oportunidades de melhoria. Promover, implantar e monitorar a adequação dos controles internos e compliance da empresa. Elaborar e revisar normativos internos. Acompanhar a emissão de normativos dos órgãos reguladores e auxiliar na implementação. Acompanhar e avaliar incidentes de erros operacionais, preparar material para atividades de auditoria interna e emitir relatórios anuais de controles internos. Elaborar treinamentos de riscos e controles internos. Desenvolver estratégias para gerenciar os riscos identificados, como implementação de controles preventivos, transferência de riscos através de seguros ou contratos, mitigação de riscos por meio de planos de ação ou aceitação de riscos dentro dos limites estabelecidos. Monitorar continuamente os riscos, avaliar a eficácia das estratégias de gerenciamento implementadas e revisar periodicamente a análise de riscos. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1185;Analista de Gestão do Conhecimento;;Atuar na estruturação e evolução contínua da base de conhecimento da organização com o objetivo de documentar, organizar e transformar processos técnicos e operacionais em conteúdos acessíveis e estratégicos por meio da curadoria e otimização de informações utilizando recursos digitais e inteligência artificial como forma de ampliar a compreensão, o acesso e a autonomia dos colaboradores.;;;;;;;;;;;;;;;;;;;
1118;Analista de Governança;"Analista de Compliance; Analista de Controles Internos; Analista de Governança Corporativa";Implementar e monitorar os processos de governança da organização. Desenvolver e revisar políticas, procedimentos e diretrizes da empresa. Criar documentos que estabelecem regras e princípios para a tomada de decisões, a prestação de contas e a gestão de riscos. Monitorar a conformidade com as políticas e diretrizes estabelecidas, bem como o desempenho em relação aos objetivos estratégicos, coletando e analisando dados, realizando auditorias internas e preparando relatórios regulares para a alta administração e stakeholders relevantes. Auxiliar na identificação, avaliação e gestão de riscos corporativos.;;;;;;;;;;;;;;;;;;;
900;Analista de Growth Hacking;"Analista de Growth; Analista de Marketing Digital; Analista de Performance de MKT";Realizar tarefas que relacionem marketing, tecnologia e métricas voltadas para o crescimento do negócio da empresa e alinhamento da estratégia de marketing. Buscar a otimização dos canais digitais com foco na aquisição de novos clientes. Atuar na criação, desenvolvimento e análise de testes para melhorias contínuas dos processos do negócio da empresa, com o objetivo de fazer a empresa crescer cada vez mais, otimizando os recursos existentes e sem precisar investir em extras. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1021;Analista de Growth Product;Analista de Produto Digital;Analisar dados, entrevistar clientes, executar testes A/B e outras pesquisas para apoiar suas hipóteses. Definir, configurar e operacionalizar relatórios regulares que forneçam insights mais profundos sobre a satisfação do cliente, feedback e oportunidades de produto. Nutrir parcerias com desenvolvedores e designers para criar experiências web e mobile. Executar a estratégia de experimentação (mídia, teste criativo, público, orçamento, KPIs) em parceria com as equipes do canal e relatar o desempenho do programa. Identificar e desenvolver requisitos de medição para habilitar alavancas de marketing de desempenho para novos programas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
436;Analista de Implantação e Configuração;"Analista de Configuração; Analista de Implantação; Analista de Implementação; Analista de Serviços de Implantação";Realizar a gestão da configuração do sistema e do ambiente, com o objetivo de estabelecer e manter a integridade de produtos de trabalho e o processo durante a vida útil dos mesmos. Implantar, parametrizar e capacitar os usuários nos sistemas, atendendo os clientes remotamente e, eventualmente, em seus estabelecimentos, visando averiguar se as configurações atendem às definições preestabelecidas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
15;Analista de Infraestrutura de TI;"Analista de Informática; Analista de Infraestrutura de Sistemas; Analista de Infraestrutura de TI; Analista de Redes; Analista de Suporte Computacional; Analista de Suporte de Infraestrutura";Efetuar a operação e/ou supervisão de computadores servidores, softwares básicos e de apoio, assim como operar equipamentos e sistemas de rede. Participar da homologação de novos serviços e projetos. Prestar assessoria e treinamento operacional na implantação, operação e manutenção de sistemas. Atuar na análise, monitoração e implantação da infraestrutura de TI da empresa. Responsabilizar-se pelo suporte à infraestrutura de Tecnologia da Informação, envolvendo manutenção e configuração de equipamentos e softwares. Atuar na criação e manutenção de serviços e infraestrutura de rede e telefonia, envolvendo configurações de servidores, backups, atualizações, segurança, armazenamento e atendimento de usuários. Realizar pesquisas de novas tecnologias, sugerir e implementar melhorias nos processos e serviços internos. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
437;Analista de Inovação;Analista de Inovação e Tecnologia;Aplicar métodos de análise de modelagem, interpretar e apresentar resultados de forma clara e concisa. Pesquisar e identificar novas tecnologias e tendências de mercado para melhorar os processos da empresa. Propor inovações tecnológicas e reflexões sobre mudanças necessárias, colaborando com a liderança para definir e implementar essas inovações em alinhamento com os objetivos estratégicos da empresa. Facilitar a adoção de novas tecnologias e metodologias, promovendo a cultura de inovação dentro da organização. Colaborar com equipes multifuncionais para desenvolver e executar projetos inovadores. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1076;Analista de Integrações;"Analista de Integração de TI; Analista de Soluções de Integração";Planejar, avaliar, supervisionar e configurar a integração de sistemas de tecnologia. Garantir que os sistemas de diferentes setores e empresas parceiras trabalhem juntos eficientemente. Atuar ativamente no mapeamento de processos, identificação de integrações possíveis, desenho dessas integrações, criação de projetos de integração, entendimento com desenvolvedores, manutenção e entrega. Supervisionar a instalação e configuração de novos sistemas e oferecer orientações sobre a modificação de sistemas existentes. Fornecer recomendações de táticas para aprimorar a integração de ferramentas e sistemas, tanto atuais quanto futuros. Colaborar com equipes multifuncionais para assegurar a conformidade com os requisitos técnicos e de negócios. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1007;Analista de Inteligência Artificial;"Analista de IA; Analista de Machine Learning; Analista de ML";Desenvolver soluções em inteligência artificial, realizar moderação de dados, processamento de linguagem natural, visão computacional, machine learning, deep learning, tratamento de conjunto de dados e utilização de frameworks de ML. Ser responsável por desenhar projeções e desenvolver sistemas e projetos de IA, desde a adequação até a programação. Utilizar matemática e estatística em seu dia a dia. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
371;Analista de Inteligência de Mercado;Market Intelligence Analyst;Realizar o mapeamento, segmentação e estudo do mercado para identificar riscos e oportunidades de negócio. Elaborar estudos de mercado desenvolvendo o projeto inicial para levantamento de dados. Elaborar a análise e apresentação dos resultados. Identificar temas a serem monitorados para determinados setores. Planejar e aplicar a coleta das informações e métodos de análise. Construir relatórios de inteligência setorial e disseminar o conteúdo formulado em formato adequado para o público-alvo. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
37;Analista de Logística;"Analista de Gestão de Estoque; Analista de Inventário; Analista de Materiais; Analista de Supply Chain";Efetuar análises referentes à compra de produtos, matérias-primas, máquinas e materiais da empresa. Supervisionar previsões de compras. Realizar negociações com fornecedores. Acompanhar indicadores de desempenho operacional e de transporte e elaborar planilhas de controle. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
42;Analista de Marketing;"Analista de Branding; Analista de Comunicação; Analista de Eventos; Analista de Marca; Analista Trade Marketing";Estruturar estratégias de projeto. Pesquisar o quadro econômico, político, social e cultural. Analisar o mercado. Desenvolver propaganda e promoções. Implantar ações de relações públicas e assessoria de imprensa. Vender produtos, serviços e conceitos. Planejar, analisar e otimizar campanhas de marketing online e offline. Coordenar eventos. Realizar pesquisas de mercado e analisar o comportamento do consumidor para atender às necessidades dos clientes e criar novos produtos ou serviços. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
370;Analista de Marketing Digital;"Analista de Comunicação Digital; Analista de Links Patrocinados; Analista de Mídias Sociais; Analista de SEO; Analista Inbound Marketing";Elaborar e executar a estratégia de marketing digital. Planejar e monitorar a presença no meio online e offline. Planejar e executar campanhas de marketing de alta performance no Google AdWords, Facebook, entre outros. Aumentar a eficiência de SEO e preparar newsletters e campanhas de e-mail marketing. Utilizar ferramentas de análise como Google Analytics, atualizar a homepage e criar landing pages. Gerenciar redes sociais. Elaborar material e conteúdo para o funil de vendas. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
45;Analista de Mídias Sociais;Analista de mídias;Zelar pela imagem e promoção do relacionamento entre clientes e públicos nas redes sociais. Qualificar a rede de relacionamentos do cliente. Promover ações de marketing digital e produzir conteúdo adequado para mídias sociais. Auxiliar nas ações táticas e operacionais, ações promocionais, seeding e monitoramento. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
46;Analista de Negócios;"Analista de Desenvolvimento de Negócios; Analista de Expansao; Analista de Inovação; Analista de Novos Negócios; Analista de Soluções; Business Analysts";Monitorar e otimizar os canais digitais da empresa por meio de análises do que está sendo produzido, identificar pontos fortes e vulnerabilidades, propor melhorias, visando direcionar a estratégia para obtenção de melhores resultados. Analisar demandas e necessidades dos clientes, levantar requisitos, definir escopo e avaliar os processos de negócios. Identificar as necessidades do cliente e sugerir produtos/serviços apropriados. Estudar tendências, concorrência e mercado na busca das melhores oportunidades de negócio alinhadas à estratégia da empresa. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
306;Analista de Operações;"Analista de Controle de Operações; Analista de Expansão Internacional; Analista Operacional";A missão do Analista de Operações/BPO é otimizar e monitorar processos de negócios, tanto internos quanto terceirizados, garantindo eficiência, qualidade e conformidade com normas estabelecidas. Atuando na análise de dados e gestão de projetos, ele identifica áreas de melhoria, implementa soluções inovadoras e monitora os resultados para assegurar a continuidade e excelência das operações. Além disso, fornece suporte técnico e operacional às equipes, mantém uma comunicação constante com fornecedores externos e gerencia a relação entre a empresa contratante e o fornecedor, contribuindo para o crescimento sustentável e a competitividade da organização.;;;;;;;;;;;;;;;;;;;
